Date;Calories actives;Calories au repos;Calories dépensées au total
22 Avr.;1,562;2,203;3,765
21 Avr.;3;2,203;2,206
20 Avr.;476;2,203;2,679
19 Avr.;42;2,203;2,245
18 Avr.;5;2,203;2,208
17 Avr.;752;2,203;2,955
16 Avr.;526;2,203;2,729
15 Avr.;924;2,203;3,127
14 Avr.;389;2,203;2,592
13 Avr.;1,685;2,203;3,888
12 Avr.;692;2,203;2,895
11 Avr.;418;2,203;2,621
10 Avr.;259;2,203;2,462
9 Avr.;717;2,203;2,92
8 Avr.;146;2,203;2,349
7 Avr.;830;2,203;3,033
6 Avr.;322;2,203;2,525
5 Avr.;253;2,203;2,456
4 Avr.;822;2,203;3,025
3 Avr.;384;2,203;2,587
1 Avr.;61;1,551;1,612
31 Mar.;450;2,203;2,653
30 Mar.;129;2,203;2,332
29 Mar.;1,01;2,203;3,213
28 Mar.;448;2,111;2,559
27 Mar.;134;2,203;2,337
26 Mar.;1,265;2,203;3,468
25 Mar.;463;2,203;2,666
24 Mar.;793;2,203;2,996
23 Mar.;567;2,203;2,77
22 Mar.;588;2,203;2,791
21 Mar.;915;2,203;3,118
20 Mar.;629;2,203;2,832
19 Mar.;659;2,203;2,862
18 Mar.;165;2,203;2,368
17 Mar.;515;2,203;2,718
16 Mar.;651;2,203;2,854
15 Mar.;578;2,203;2,781
14 Mar.;400;2,203;2,603
13 Mar.;396;2,203;2,599
12 Mar.;198;2,203;2,401
11 Mar.;1,035;2,203;3,238
10 Mar.;783;2,203;2,986
9 Mar.;622;2,203;2,825
8 Mar.;553;2,203;2,756
7 Mar.;653;2,203;2,856
6 Mar.;661;2,203;2,864
5 Mar.;640;2,203;2,843
4 Mar.;1,174;2,203;3,377
3 Mar.;829;2,203;3,032
2 Mar.;667;2,203;2,87
1 Mar.;682;2,203;2,885
28 Fév.;525;2,203;2,728
27 Fév.;168;2,203;2,371
26 Fév.;1,802;2,203;4,005
25 Fév.;3,205;2,203;5,408
24 Fév.;416;2,203;2,619
23 Fév.;798;2,203;3,001
22 Fév.;852;2,203;3,055
21 Fév.;868;2,203;3,071
20 Fév.;667;2,203;2,87
19 Fév.;1,291;2,203;3,494
18 Fév.;335;2,203;2,538
17 Fév.;214;2,203;2,417
16 Fév.;3,208;2,203;5,411
15 Fév.;1,249;2,203;3,452
14 Fév.;1,115;2,203;3,318
13 Fév.;302;2,203;2,505
12 Fév.;814;2,203;3,017
11 Fév.;392;2,203;2,595
10 Fév.;603;2,203;2,806
9 Fév.;996;2,199;3,195
8 Fév.;687;2,203;2,89
7 Fév.;740;2,203;2,943
6 Fév.;711;2,203;2,914
5 Fév.;45;2,203;2,248
4 Fév.;569;2,203;2,772
3 Fév.;1,638;2,203;3,841
2 Fév.;1,875;2,203;4,078
1 Fév.;444;2,203;2,647
31 Jan.;1,514;2,203;3,717
30 Jan.;647;2,203;2,85
29 Jan.;571;2,203;2,774
28 Jan.;668;2,203;2,871
27 Jan.;562;2,203;2,765
26 Jan.;850;2,203;3,053
25 Jan.;489;2,203;2,692
24 Jan.;613;2,191;2,804
23 Jan.;820;2,191;3,011
22 Jan.;861;2,191;3,052
21 Jan.;646;2,215;2,861
20 Jan.;1,11;2,215;3,325
19 Jan.;631;2,215;2,846
18 Jan.;1,315;2,213;3,528
17 Jan.;914;2,213;3,127
16 Jan.;561;2,215;2,776
15 Jan.;1,779;2,215;3,994
14 Jan.;1,358;2,215;3,573
13 Jan.;1,044;2,215;3,259
12 Jan.;910;2,215;3,125
11 Jan.;757;2,213;2,97
10 Jan.;892;2,227;3,119
9 Jan.;773;2,227;3
8 Jan.;246;2,227;2,473
7 Jan.;885;2,227;3,112
6 Jan.;1,014;2,227;3,241
5 Jan.;1,18;2,227;3,407
4 Jan.;542;2,227;2,769
3 Jan.;819;2,227;3,046
2 Jan.;587;2,227;2,814
1 Jan.;2,108;2,227;4,335
31 Déc.;394;2,233;2,627
30 Déc.;101;2,233;2,334
29 Déc.;95;2,233;2,328
28 Déc.;251;2,233;2,484
27 Déc.;589;2,233;2,822
26 Déc.;1,364;2,233;3,597
25 Déc.;1,077;2,233;3,31
24 Déc.;561;2,233;2,794
23 Déc.;599;2,233;2,832
22 Déc.;650;2,233;2,883
21 Déc.;355;2,233;2,588
20 Déc.;1,609;2,233;3,842
19 Déc.;995;2,233;3,228
18 Déc.;1,369;2,233;3,602
17 Déc.;1,662;2,233;3,895
16 Déc.;845;2,233;3,078
15 Déc.;108;2,233;2,341
14 Déc.;510;2,233;2,743
13 Déc.;836;2,233;3,069
12 Déc.;683;2,233;2,916
