Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups,SWOLF moyen,Fréquence moy. des coups,Total répétitions,Total séries,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2024-02-26 19:13:20,false,"Paris - Base","4.24","343","00:24:42","156","185","3.2","148","202","5:50","2:34","17","23","1.15","9.2","11.6","268","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","00:00:43.0","7","25.0","31","17","41","00:23:15","00:24:45","44","55"
Course à pied,2024-02-20 17:52:19,false,"Puteaux - Base","8.54","693","00:51:30","158","195","3.9","149","230","6:02","2:30","43","38","1.07","10.5","10.6","295","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:00:01.7","16","27.0","34","19","44","00:50:15","00:51:30","27","48"
Course à pied,2024-02-13 17:37:50,false,"Courbevoie Course à pied","8.75","684","00:54:47","153","189","3.6","148","225","6:16","3:23","42","39","1.04","11.0","10.6","293","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:00:01.9","16","27.0","31","19","41","00:53:08","00:54:47","30","51"
Course à pied,2024-02-12 17:53:37,false,"Courbevoie - Base","5.88","473","00:37:05","148","193","3.0","156","240","6:19","2:44","38","39","1.00","11.9","11.6","276","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:00:13.8","7","26.0","30","21","40","00:36:18","00:37:05","28","47"
Course à pied,2024-02-09 15:32:45,false,"Audierne - Base","10.69","797","00:55:35","155","185","3.9","160","207","5:12","3:43","217","221","1.20","9.9","12.1","265","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00:11.8","12","27.0","31","20","39","00:55:32","00:55:35","-469","48"
Course à pied,2024-02-07 11:48:25,false,"Audierne - Base","7.00","504","00:38:12","143","191","3.3","160","183","5:27","3:58","98","94","1.14","10.0","11.7","272","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:02:09.9","8","26.0","29","18","43","00:38:10","00:38:12","4","48"
Course à pied,2024-02-05 17:00:40,false,"Puteaux Course à pied","6.38","505","00:41:46","144","192","2.9","157","254","6:33","2:35","38","28","1.00","11.8","11.9","277","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:02:44.5","7","29.0","27","16","39","00:41:38","00:41:46","26","48"
Course à pied,2024-02-03 17:44:52,false,"Base","4.88","450","00:29:32","163","193","3.8","160","194","6:03","3:56","45","40","0.75","16.7","12.3","268","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:04:10.3","5","29.0","34","22","42","00:29:26","00:29:32","56","81"
Course à pied,2024-01-30 17:37:10,false,"Courbevoie - Base","5.07","395","00:29:28","153","189","3.1","156","234","5:48","3:51","28","30","1.07","11.6","11.8","280","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:02:31.7","6","27.0","32","20","41","00:29:00","00:29:28","30","49"
Course à pied,2024-01-27 11:13:35,false,"Courbevoie - Base","5.81","478","00:33:55","163","196","3.5","156","236","5:51","3:44","29","28","1.10","11.1","11.8","276","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","00:01:07.8","7","27.0","34","21","43","00:32:15","00:33:55","31","51"
Course à pied,2024-01-26 17:06:27,false,"Courbevoie Course à pied","6.31","513","00:35:52","163","199","3.5","158","239","5:41","3:26","32","34","1.11","11.0","12.0","270","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","-17.0","0:00","Non","00:02:10.1","7","26.0","34","22","42","00:35:06","00:35:52","25","47"
Course à pied,2024-01-22 17:40:46,false,"Courbevoie - Base","5.44","462","00:35:20","150","187","3.0","150","248","6:30","4:25","34","32","1.03","11.4","11.6","294","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:01:19.7","7","27.0","29","20","38","00:33:05","00:35:20","24","47"
Course à pied,2024-01-21 16:25:35,false,"Puteaux - Base","7.22","559","00:37:38","161","189","3.8","163","255","5:13","3:33","69","61","1.19","10.5","12.2","261","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","00:01:26.9","8","26.0","33","20","39","00:37:29","00:37:38","32","62"
Course à pied,2024-01-14 11:13:25,false,"Puteaux - Base","4.47","391","00:25:30","169","201","3.4","157","248","5:42","2:40","38","28","1.13","11.0","12.3","273","49.4% G / 50.6% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","7.0","0:00","Non","00:02:55.6","5","26.0","34","20","40","00:24:48","00:25:30","25","48"
Course à pied,2024-01-10 18:27:32,false,"Neuilly-sur-Seine - Base","4.32","398","00:26:58","157","184","3.3","155","237","6:14","3:34","17","12","1.02","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","Non","00:01:10.7","5","27.0","--","--","--","00:21:14","00:26:58","29","38"
Course à pied,2024-01-03 17:29:47,false,"Courbevoie - Base","6.41","491","00:34:22","153","175","3.2","155","192","5:22","4:18","32","33","1.24","12.4","16.3","263","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:02:14.8","7","27.0","30","23","36","00:34:19","00:34:22","33","45"
Course à pied,2024-01-01 13:07:02,false,"Courbevoie Course à pied","6.68","523","00:34:40","168","197","3.4","162","173","5:11","3:43","25","28","1.17","10.5","12.0","263","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:00:01.6","11","28.0","35","24","44","00:34:38","00:34:40","37","52"
Course à pied,2023-12-29 15:14:32,false,"Audierne Course à pied","9.83","778","00:50:29","166","190","4.2","160","208","5:08","3:51","135","135","1.22","9.9","12.2","269","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:04:41.0","10","27.0","32","15","42","00:50:25","00:50:29","-2","46"
Course à pied,2023-12-26 15:40:34,false,"Audierne - Base","8.66","681","00:43:31","164","192","4.2","163","219","5:01","3:46","106","107","1.22","9.9","12.4","260","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:03:53.5","9","26.0","33","22","42","00:43:30","00:43:31","-2","46"
Course à pied,2023-12-25 09:16:18,false,"Audierne Course à pied","8.22","630","00:44:24","152","178","3.4","159","176","5:24","4:19","119","117","1.16","10.3","12.2","269","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:01:09.7","9","28.0","30","20","39","00:44:21","00:44:24","2","49"
Course à pied,2023-12-23 16:23:19,false,"Audierne Course à pied","0.66","49","00:05:00.5","134","144","0.4","155","158","7:39","6:57","4","5","0.83","12.4","10.5","296","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:05:00.5","1","20.0","24","18","28","00:05:00","00:05:00.5","40","46"
Course à pied,2023-12-23 15:44:12,false,"Audierne - Base","8.22","617","00:37:38","170","191","4.2","166","192","4:35","3:48","137","135","1.31","8.9","12.0","245","49.4% G / 50.6% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:00:57.9","9","26.0","35","22","42","00:37:37","00:37:38","-106","45"
Course à pied,2023-12-22 16:08:12,false,"Audierne Course à pied","4.23","304","00:22:40","139","165","2.6","159","201","5:22","4:21","61","62","1.17","9.9","11.9","274","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:14.9","5","27.0","28","14","41","00:22:38","00:22:40","4","46"
Course à pied,2023-12-16 15:40:47,false,"Audierne Course à pied","21.31","1,763","02:01:25","160","187","4.9","160","198","5:42","4:33","399","401","1.10","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","00:01:44.0","22","28.0","--","--","--","02:01:20","02:01:25","-1","47"
Course à pied,2023-12-15 16:30:34,false,"Audierne - Base","8.11","639","00:42:39","157","181","3.8","160","174","5:16","3:30","91","97","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:53.6","9","26.0","--","--","--","00:42:37","00:42:39","-1","46"
Course à pied,2023-12-13 16:21:19,false,"Audierne Course à pied","14.68","1,172","01:18:11","160","182","4.7","162","191","5:20","4:08","117","117","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:03:37.0","15","25.0","--","--","--","01:18:08","01:18:11","2","51"
Course à pied,2023-12-12 16:25:05,false,"Audierne Course à pied","6.45","509","00:35:53","148","172","3.3","159","174","5:34","4:29","110","110","1.13","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:02:38.1","7","26.0","--","--","--","00:35:51","00:35:53","0","48"
Course à pied,2023-12-10 16:27:17,false,"Audierne - Base","5.03","416","00:29:36","156","170","3.1","159","173","5:53","5:01","79","76","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:00:11.5","6","27.0","--","--","--","00:29:33","00:29:36","3","45"
Course à pied,2023-12-09 16:40:54,false,"Audierne Course à pied","12.27","962","01:05:55","151","171","4.2","161","192","5:22","3:50","401","402","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:01:31.3","13","25.0","--","--","--","01:05:51","01:05:55","-6","1,096"
Course à pied,2023-12-07 16:07:13,false,"Audierne Course à pied","8.47","652","00:44:22","149","173","3.7","161","173","5:14","3:57","87","86","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:02:33.0","9","25.0","--","--","--","00:44:21","00:44:22","3","47"
Course à pied,2023-12-06 17:44:15,false,"Audierne Course à pied","4.54","351","00:23:40","157","181","3.2","160","167","5:13","4:05","71","70","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:02:41.3","5","23.0","--","--","--","00:23:00","00:23:40","18","49"
