Date;Repos;Le plus haut
9 Avr.;51 bpm;182 bpm
8 Avr.;54 bpm;109 bpm
7 Avr.;73 bpm;140 bpm
6 Avr.;49 bpm;115 bpm
5 Avr.;50 bpm;114 bpm
4 Avr.;48 bpm;155 bpm
3 Avr.;48 bpm;111 bpm
1 Avr.;51 bpm;93 bpm
31 Mar.;46 bpm;130 bpm
30 Mar.;49 bpm;98 bpm
29 Mar.;44 bpm;176 bpm
28 Mar.;46 bpm;129 bpm
27 Mar.;52 bpm;115 bpm
26 Mar.;50 bpm;140 bpm
25 Mar.;47 bpm;134 bpm
24 Mar.;46 bpm;179 bpm
23 Mar.;46 bpm;139 bpm
22 Mar.;46 bpm;149 bpm
21 Mar.;44 bpm;186 bpm
20 Mar.;47 bpm;149 bpm
19 Mar.;52 bpm;156 bpm
18 Mar.;51 bpm;98 bpm
17 Mar.;49 bpm;119 bpm
16 Mar.;47 bpm;122 bpm
15 Mar.;48 bpm;117 bpm
14 Mar.;50 bpm;112 bpm
13 Mar.;47 bpm;118 bpm
12 Mar.;48 bpm;110 bpm
11 Mar.;57 bpm;181 bpm
10 Mar.;56 bpm;188 bpm
9 Mar.;--;152 bpm
8 Mar.;--;147 bpm
7 Mar.;49 bpm;186 bpm
6 Mar.;48 bpm;149 bpm
5 Mar.;59 bpm;123 bpm
4 Mar.;50 bpm;178 bpm
3 Mar.;50 bpm;192 bpm
2 Mar.;51 bpm;154 bpm
1 Mar.;47 bpm;168 bpm
28 Fév.;47 bpm;157 bpm
27 Fév.;52 bpm;119 bpm
26 Fév.;65 bpm;156 bpm
25 Fév.;53 bpm;144 bpm
24 Fév.;48 bpm;121 bpm
23 Fév.;48 bpm;158 bpm
22 Fév.;47 bpm;180 bpm
21 Fév.;48 bpm;175 bpm
20 Fév.;47 bpm;154 bpm
19 Fév.;58 bpm;134 bpm
18 Fév.;54 bpm;116 bpm
17 Fév.;48 bpm;125 bpm
16 Fév.;55 bpm;166 bpm
15 Fév.;49 bpm;164 bpm
14 Fév.;51 bpm;193 bpm
13 Fév.;50 bpm;122 bpm
12 Fév.;50 bpm;162 bpm
11 Fév.;52 bpm;119 bpm
10 Fév.;52 bpm;166 bpm
9 Fév.;51 bpm;189 bpm
8 Fév.;52 bpm;170 bpm
7 Fév.;50 bpm;190 bpm
6 Fév.;51 bpm;164 bpm
5 Fév.;47 bpm;100 bpm
4 Fév.;48 bpm;155 bpm
3 Fév.;58 bpm;146 bpm
2 Fév.;55 bpm;137 bpm
1 Fév.;53 bpm;134 bpm
31 Jan.;49 bpm;187 bpm
30 Jan.;51 bpm;165 bpm
29 Jan.;53 bpm;125 bpm
28 Jan.;51 bpm;157 bpm
27 Jan.;49 bpm;169 bpm
26 Jan.;50 bpm;187 bpm
25 Jan.;48 bpm;156 bpm
24 Jan.;49 bpm;148 bpm
